X,Y,OBJECTID,FEATURE_ID,CODE,NAME,ADDRESS,NEIGH_NUM,XCOORD,YCOORD,LONGITUDE,LATITUDE
-122.140775474538117,47.576087474426906,28,90028,90,Eastgate Neighborhood,SE 38th St & 148th Ave SE,11,1317717.49997953,212880.60914111,-122.14077729,47.57608529
-122.276064301133047,47.546162840180642,29,90029,90,Rainier Valley Neighborhood,S Graham St & Rainier Ave S,31,1284124.99990743,202563.71901376,-122.27606631,47.54616093
-122.31223254776647,47.690347498433965,30,90030,90,Maple Leaf Neighborhood,NE 85th St & 15th Ave NE,23,1276204.74999994,255317.12498968,-122.31223392,47.69034567
-122.392836893587074,47.315158963973552,31,90031,90,Twin Lakes Neighborhood,SW 320th St & 47th Ave SW,36,1253583.6249667,118881.21905626,-122.39284014,47.31515729
-122.401005387533615,47.639554353151929,32,90032,90,Magnolia Neighborhood,W Mc Graw St & 34th Ave W,22,1253967.9998541,237226.10900643,-122.40100699,47.63955267
-122.269987634546183,47.523308042028304,33,90033,90,Rainier Beach Neighborhood,S Henderson St & Rainier Ave S,30,1285469.87484236,194200.46900801,-122.26998975,47.52330612
-122.107458441242159,47.358104638937164,34,90034,90,"Covington, Timberlane Neighborhood",SR 516 & SE Wax Rd,9,1324623.57212536,133240.9849561,-122.10746142,47.35810236
-122.176780452561019,47.762939601224332,35,90035,90,North Creek Neighborhood,North Creek Pky & 120th Ave NE,27,1310021.51898044,281180.58605793,-122.17678143,47.76293761
-122.154158706500994,47.445532613084374,36,90036,90,Fairwood Neighborhood,SE Petrovitsky Rd & 140th Ave SE,12,1313597.30612019,165322.18293269,-122.1541612,47.44553043
-122.316092239863792,47.547928228941615,37,90037,90,Georgetown Neighborhood,S Bailey St & 13th Ave S,15,1274253.45698653,203395.44208785,-122.31609424,47.54792637
-122.17820198080085,47.50230474861101,38,90038,90,Renton Highlands Neighborhood,Sunset Blvd NE & Kirkland Ave NE,32,1308010.61814661,186130.55306127,-122.17820416,47.50230262
-122.201874224301505,47.372563954665047,39,90039,90,Kent East Hill Neighborhood,SE 256th St & 104th Ave SE,19,1301318.70305277,138916.21605968,-122.20187714,47.37256189
-122.175613409377249,47.731256337329896,40,90040,90,Kingsgate Neighborhood,NE 144th St & 124th Ave NE,20,1310106.93416394,269620.31685568,-122.17561454,47.73125428
-122.179302849538942,47.549811510499794,41,90041,90,Newport Hills Neighborhood,SE 60th St & 119th Ave SE,25,1308041.61316335,203461.46000044,-122.17930481,47.5498094
-122.285041761176387,47.557848628049655,42,90042,90,Columbia City Neighborhood,S Genesee St & Rainier Ave S,8,1281988.62491511,206867.21893693,-122.28504372,47.55784673
-122.386545698484184,47.581195332976364,43,90043,90,Admiral Neighborhood,California Ave SW & SW Admiral Way,42,1257102.37613128,215870.82789818,-122.38654756,47.58119359
-122.410647754905298,47.579124952800512,44,90044,90,Alki Neighborhood,Alki Ave SW & 61st Ave SW,43,1251139.62493344,215236.7658461,-122.41064962,47.57912324
-122.325055354830141,47.599190766871111,45,90045,90,International District,Maynard Ave S & S Jackson St,44,1272402.75005803,222133.48400801,-122.32505713,47.59918894
-122.387214847598329,47.54487201989226,46,90046,90,Morgan Junction Neighborhood,California Ave SW & Fauntleroy Way SW,45,1256669.75002803,202627.39113052,-122.38721687,47.54487025
